Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,description,game_rating
4-in-1 Fun Pak,Beam Software,Interplay NA/EUImagineer JP,September 1992,gb,"A Game Boy game that includes four different classic board games: chess, reversi, checkers, and backgammon.",3030-11724,11724,0,,https://www.giantbomb.com/4-in-1-fun-pak/3030-11724/," <div> Overview : 4-in-1 Fun Pak is a board game compilation developed by Beam Software and published by both Interplay (US and EU regions) and Imagineer (Japanese region) for the Game Boy platform. </div>  <div> Gameplay : 4-in-1 Fun Pak is a compilation of four classic board games. These games can be played single player against a computer controlled opponent, two player hot seat style with players passing the Game Boy, or two players with a link cable. </div> ",
4-in-1 Funpak Volume II,Beam Software,Interplay,August 1993,gb,"This is a followup to the 1992 original 4-in-1 Fun Pak on the Game Boy. This new edition includes solitaire, yacht, dominoes, and cribbage.",3030-39477,39477,0,,https://www.giantbomb.com/4-in-1-funpak-volume-ii/3030-39477/,,
The Addams Family,Ocean,Ocean NA/EUMisawa JP,January 1992,gb,"The Addams Family isn't the highest-selling pinball machine in history for nothing.  It has humor, playability, and quirkiness that only the Addams can provide.  The collector's edition released in 1994 had gold accents to commemorate its wild success.",3030-22525,22525,0,,https://www.giantbomb.com/the-addams-family/3030-22525/," <div> Features : Sound bytes by Anjelica Huston and Raul Julia, who played Morticia and Gomez in the movie.A computer-controlled flipper which activates after a certain sequence of shots is made, called the Thing Flipper, after the disembodied hand. This automated flipper was used successfully to lure players in by generating interest. How? The flippers would ""flip"" when the machine idled, while the machine was idle it would play the Addam's Family theme, and during the parts where finger snapping would occur, the flippers would activate in sync.A dot-matrix display, one of the first for a pinball machine. </div>  <div> Game Modes : There are thirteen (natch) different ""rooms"", or game modes, available by shooting the electric chair or swamp kickout on the field.3 Million: Player gets 3 million points.6 Million: Player gets 6 million points.9 Million: Player gets 9 million points.Extra Ball: Extra Ball is lit at Thing's eject. Hit that shot for an extra ball.Graveyard At Max: The bumpers, or ""graveyard"", advance to their maximum value, increasing the Graveyard value by 30,000 points per hit until the ball is lost.Hit Cousin It: The player has 20 seconds where all switches score 200,000 points. Hitting Cousin It, located near the middle of the table, scores 2 million points, and increases the switch value by 50,000.The Mamushka: For 20 seconds, every switch scores 250,000 points.Quick Multiball: Lights Quick Multiball at Thing's eject. Hitting that starts a two-ball multiball. Getting the ball into the Vault scores 5 million points, and can be increased by shooting the Vault or the center ramp. This continues until there is one ball remaining.Raise the Dead: The player has 30 seconds to hit as many bumpers as possible. All bumper hits are worth 100,000 points, and If any one bumper is hit 4 times, it scores 3 million points. After 30 seconds, or when all bumpers are hit 4 times, the round ends, but the 100,000-per-bumper scoring still applies.Seance: The player has 30 seconds to hit any ramp. The first hit is worth 5 million points, the second is 10 million, and the third is 15 million. Making it harder is the magnets that are activated under the playfield, which can knock the ball in any direction.Thing Multiball: The Thing Multiball value starts at 15 million points and dwindles down to 3 million, and Thing's eject is lit. Hitting it scores whatever value it shows, stops the countdown, and starts a two-ball multiball. Hitting the Vault scores the Multiball value. This continues until there is one ball remaining.Tunnel Hunt: The player has 20 seconds to hit three shots: Electric Chair, Swamp, and Vault. The first shot is worth 5 million points, the second shot is 10 million points, and the third is 15 million.When all twelve of these modes are played, the thirteenth mode is available, Tour the Mansion. </div> ",
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean,July 1993,gb,Action platformer based on the 1992 Addams Family cartoon series.,3030-14644,14644,0,,https://www.giantbomb.com/the-addams-family-pugsleys-scavenger-hunt/3030-14644/," <div> Overview : The Addams Family: Pugsley's Scavenger Hunt is an action/platformer published by Ocean Software and released on multiple platforms. It is based on the 1992 animated series incarnation of The Addams Family, rather than the movies, live-action TV show or the original comics.The Addams Family: Pugsley's Scavenger Hunt has a somewhat unusual release history; originally released on the SNES, versions for the Game Boy and Nintendo's previous console the NES were published a few months later. It was also made available in Europe several months before the US, as Ocean was a UK-based publisher. </div>  <div> Gameplay : Pugsley's Scavenger Hunt is a 2D platformer in which the player controls Pugsley Addams, who must venture forth into his house in search of items hidden by his sister Wednesday.Certain rooms, such as the bathroom level, are explored with Pugsley haven been shrunk in size. Different characters are also encountered in each of the rooms. For example, the Addams' butler Lurch is found in the Attic stage.The game is known for its colorful graphics but high difficulty and total lack of a password feature. </div>  <div> Critical Reception : When the NES version was released Electronic Gaming Monthly's Mike Weigand gave the review score of 7 out of 10. He wrote, ""...another version of the multi-platform game... if you played the SNES version, there is nothing here that is terribly different, except, of course, diminished graphics and sound. This is one of the better games for the NES system"". </div> ",
Takahashi Meijin no Bouken Jima IV,,Hudson Soft,February 1992,gb,Last Adventure Island game for NES. Master Higgins has to fight the Eggplant Wizard to rescue his friends and love interest.,3030-22925,22925,0,1994-06-24,https://www.giantbomb.com/takahashi-meijin-no-bouken-jima-iv/3030-22925/," <div> Overview : Takahashi Meijin no Bouken Jima IV (""Master Takahashi's Adventure Island IV"") is a side-scrolling platformer and the last of the Adventure Island series to be released on the NES. It is the eighth game in the series total. It would also be the last official game released on the Nintendo Famicom.The game more closely resembles the action-adventure style that later Adventure Island games adopted, rather than the strict and fast-paced platformer of the original games. Rather than have his health drained whenever he's not eating, Master Higgins can recover health by eating eight pieces instead. There are a range of weapons to find and use, and the game uses a password system to record progress. </div> ",
The Sims 3: Island Paradise,Now Production,Hudson Soft,February 1993,gb,Get a houseboat and set sail in this Sims 3 expansion pack.,3030-43096,43096,0,2013-06-25,https://www.giantbomb.com/the-sims-3-island-paradise/3030-43096/, <div> Overview : The Sims 3: Island Paradise is a Sims 3 expansion pack developed by EA Maxis and published by Electronic Arts for PC and Mac platforms. </div> ,
The Adventures of Rocky and Bullwinkle and Friends,Imagineering,THQ,October 1992,gb,"Rocky and Bullwinkle is a platformer starring Bullwinkle the moose and the flying squirrel Rocky. It also includes mini-games featuring some of their friends, Dudley Do-Right and Sherman &amp; Mister Peabody.",3030-8118,8118,0,,https://www.giantbomb.com/the-adventures-of-rocky-and-bullwinkle-and-friends/3030-8118/," <div> Overview : The Adventures of Rocky and Bullwinkle and Friends is a platformer action game featuring the characters from the long-running animated series The Rocky and Bullwinkle Show. In the game, the duo chase after some familiar-looking thieves who rob the Rocky and Bullwinkle Museum on its opening day. The player can also play basic mini-games featuring Dudley Do-Right, the fearless (and hapless) Canadian Mountie, and Sherman and Mister Peabody, a boy and his dog who regularly travel through time.The game was developed by Imagineering Inc. released on multiple systems by THQ. The NES and Game Boy versions were created first in late 1992, followed by the SNES and Genesis versions in mid-1993. The characters in the SNES version actually break the fourth wall to remark on the earlier versions and the similar material, displaying the same wry self-referential humor of the series it's based on. </div>  <div> Critical Reception : When the Genesis version was released Mike Weigand of Electronic Gaming Monthly gave the review score of 4 out of 10 writing, ""...This is an almost carbon-copy of the NES version, with the poor control intact! Dig the way Rocky attacks with those huge antlers and climbs the side of that mountain! The variety of games is nice, but the whole thing looks rushed"". </div> ",
Island Saver,A-Wave,King Records JPTaito Corporation NA/EU,March 1992,gb,An action-adventure game about saving island animals from pollution and garbage.,3030-78537,78537,0,2020-05-12,https://www.giantbomb.com/island-saver/3030-78537/," <div> Overview : Island Saver is an action-adventure game developed by Stormcloud Games Limited and published by National Westminster Bank plc for PC, PlayStation 4, Xbox One, and Nintendo Switch. </div>  <div> System Requirements : PC MinimumPC RecommendedOperating System: Windows 7+Processor: 2.2GHz Dual CoreMemory: 4 GB RAMGraphics: 512MB VRAMDirectX: Version 11Storage: 1 GB available spaceSound Card: Any compatible soundcard  </div>  <div> External Links : Island Saver Official Site </div> ",
Aerostar,Vic Tokai,Vic Tokai,September 1991,gb,Aerostar is a top down shooter for the Game Boy.,3030-1554,1554,0,,https://www.giantbomb.com/aerostar/3030-1554/, <div> Overview :  Aerostar is a scrolling top down shooter that was released on the original Game Boy in 1991. </div> ,
Legend of Aladdin,NMS Software,Virgin Interactive EUTHQ NA,October 1995,gb,,3030-1277,1277,0,2005-11-28,https://www.giantbomb.com/legend-of-aladdin/3030-1277/,,
