Title,Developer,Publisher,First released,console,guid,deck,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
3-D Ultra Pinball: Thrillride,Left Field Productions,Sierra On-Line,,gbc,3030-5772,3D Ultra Pinball: Thrillride is a pinball game for the PC and Game Boy Color.,5772,0,2000-06-25,https://www.giantbomb.com/3-d-ultra-pinball-thrillride/3030-5772/,ESRB: E, <div> Overview :  3D Ultra Pinball: Thrillride is a pinball game developed by 3D Ultra (PC Version) and Left Field Productions (Game Boy Color Version). 3D Ultra Pinball: Thrillride was published by Sierra Entertainment for both versions. </div> 
007: The World is Not Enough,2n Productions,Electronic Arts,"September 28, 2001",gbc,3030-18168,"The World Is Not Enough, a video game adaption of the actual hollywood movie, follows James Bond on his secret mission both to unravel the mysterious intentions of a femmè fatale called Elektra King and to uncover the plans of his vicious counterpart Renard.",18168,0,2000-11-01,https://www.giantbomb.com/007-the-world-is-not-enough/3030-18168/,ESRB: E," <div> Overview : Coming off the failure that was Tomorrow Never Dies, publisher EA wanted to return to James Bond's roots as a first-person shooter. The game, based on the film of the same name, had a different developer for each of the three platforms that it was released on. The Nintendo 64 version was developed by Eurocom, the PlayStation version was developed by Black Ops Entertainment, the developer of the previous James Bond game Tomorrow Never Dies, and by 2n Productions for the Game Boy Color. Versions of the game for the PC and PlayStation 2 were planned for release but were later cancelled midway through the development cycle.The Nintendo 64 version of the game featured a multiplayer mode that was absent from the PlayStation version. The Nintendo 64 version also supported both Rumble Pak and Expansion Pack accessories. The game features 14 single player missions that follow the story of the film very closely. Just like GoldenEye 007, the game featured three difficulty levels: Agent, Secret Agent, and 00 Agent. Completing missions on a certain difficulty would allow players to unlock additional multiplayer maps such as a dark Eastern European forest, a version of MI6's Scotland Headquarters and ski resort complete with working gondolas, and an airplane. The PlayStation version is known for lacking three levels, a level of difficulty and multiplayer modes.The campaign contained multiple gadgets and numerous weapons the player could use. Each weapon had a second setting on it, such as the SA90, which could switch between single and burst modes of fire.The World is Not Enough contained a robust split-screen mode found in most James Bond games. Players could customize their experience in various ways. They could choose what weapons they wanted to be available ( sniper rifles, explosive weapons, close combat etc.), choose how they wanted their avatar to look while playing in the game, have either vertical or horizontal split-screen, and select score limit and match time. Players could fight in teams, Free-for-All, Last Man Standing, uplink, Capture the Flag and King of the Hill modes. During the game, players could pick up various gadgets and aids such as body armor and night vision goggles. </div>  <div> Weapons : P90Ingalls Type 90Meyer TMP </div> "
1942,Digital Eclipse,Capcom,"January 1, 2001",gbc,3030-10466,1942 is a vertical shooter set in an exaggerated World War 2 universe.  It went on to be one of Capcom's very first hits.,10466,0,,https://www.giantbomb.com/1942/3030-10466/,ESRB: E," <div> Overview : 1942 was originally released for  arcades in 1984. While the game was ported to several other platforms including the  MSX and  ZX Spectrum, the most popular version would belong on the  NES in 1986 developed by  Micronics.1942 would go on to become Capcom's first franchise, releasing sequels, spin-offs, and even a prequel. 1942 has solidified itself in gaming history, released in several Capcom ""greatest hits"" collections including Capcom Generations, Capcom Classics Collection, and Capcom Classics Collection: Reloaded. </div>  <div> Gameplay : Players pilot Super Ace, a Lockheed P-38 Lightning, while shooting their way through the Pacific Theater. Not just for kicks, of course. The primary objective in 1942 is to reach  Tokyo in order to destroy  Japan's remaining air force. The game featured an  evade maneuver, allowing the plane to roll out of the way of incoming fire. There was also a two-player mode, but the series didn't start out with cooperative play. Instead, players would trade off and achieve their own designated scores.While traversing the Pacific Theater, Super Ace would fly through eight locations split between thirty-two stages, four stages in each. All of the stages are set in true-to-life locations including Midway, Marshall, Attu, Rabaul, Levte, Saiban,  Iwo Jima, and  Okinawa. </div> "
Action Man: Search for Base X,Natsume,THQ,"March 9, 2001",gbc,3030-27310,A game based on the Hasbro action figure.,27310,0,2001-03-09,https://www.giantbomb.com/action-man-search-for-base-x/3030-27310/,ESRB: E," <div> Overview :  Action Man: Search for Base X is an action game based on the Action Man franchise. In Action Man the main playable character is Alex Mann, codenamed Action Man. As Action Man the goal is to track down and defeat Dr. X from using his evil weapons of mass d estruction.   </div>  <div> Gameplay : Jungle Level  Action Man has three different difficulty levels: Easy, Medium, and  Hard. Action Man features four different environments, each with some  unique gameplay mechanics. The different environments are: Jungle, Snow  Mountain, Mine, and Ruins. Once the level has been chosen the player  then chooses from a variety of different suits and a weapon for the  right hand and left hand. Not all of the various suits and guns are  available from the start and must be unlocked. </div> "
AirForce Delta Strike,Climax,Konami,December 2000,gbc,3030-26515,AirForce Delta Strike is a jet sim game by KCE Studios.,26515,0,2004-02-03,https://www.giantbomb.com/airforce-delta-strike/3030-26515/,,
Alice in Wonderland,Digital Eclipse,Nintendo,"April 20, 2001",gbc,3030-30173,Alice in Wonderland is a Walt Disney video game based on the movie with the same name by Tim Burton (2010).,30173,0,2010-03-02,https://www.giantbomb.com/alice-in-wonderland/3030-30173/,ESRB: E10+," <div> Overview    : The DS version differs greatly from the Wii and PC versions.     Alice in Wonderland was released on March 2, 2010 for the           Wii,          PC, and         Nintendo DS. While released simultaneously, the Wii/PC versions are significantly different from the Nintendo DS version. All versions of the game were developed by Etranges Libelluie and published by        Disney Interactive Studios. In addition to these versions, an       iPhone adaptation of Tim Burton's movie is planned for release later this year.Despite the low amount of reviews, the game was moderately well received. According to Game Rankings, the aggregate score for Alice in Wonderland on PC and Wii respectively is 73% and 74%, while the DS version scored a 79% aggregate from four different publications. </div>  <div> Gameplay :  The White Rabbit in the Wii version.      Starring a variety of characters from the movie (e.g. the      White Rabbit, the     Mad Hatter,    Cheshire Cat), the Wii and PC versions are third person action adventure games. Taking advantage of the cast of characters, puzzles require the usage of a particular character's special ability. For example, the Cheshire Cat can turn invisible or even make previously hidden items visible. The ability to switch between characters at any time is imperative to solving the variety of puzzles.The game centers around protecting Alice. At times during the adventure, heart-shaped portals open and Red Queen soldiers attack. In these battles, the ability to switch between characters is still available, and repeated attacks can chain together to create combos or special moves. When enemies are killed, characters' abilities can be upgraded with ""impossible ideas."" Characters cannot die, but instead will lose all impossible ideas gained during the battle. After all impossible ideas are lost, Alice can be dragged into the portal, triggering a game over. </div> "
All-Star Baseball 2001,KnowWonder,Acclaim Sports,,gbc,3030-12481,A baseball game from Acclaim.,12481,0,2000-02-29,https://www.giantbomb.com/all-star-baseball-2001/3030-12481/,ESRB: E, <div> Overview : All-Star Baseball 2001 is a baseball game developed by KnowWonder (Game Boy Color version) and High Voltage Software (N64 version). All-Star Baseball 2001 was published by Acclaim for both versions. </div> 
Alone in the Dark: The New Nightmare,Pocket Studios,Infogrames,"May 18, 2001",gbc,3030-13817,"Alone in the Dark: The New Nightmare is a survival horror game developed by Darkworks studios and published by Infogrames. The game takes place on 'Shadow Island', and features two main protagonists: Aline Cedrac and Edward Carnby.",13817,0,,https://www.giantbomb.com/alone-in-the-dark-the-new-nightmare/3030-13817/,ESRB: M," <div> Overview : New Nightmare is the fourth game in the Alone in the Dark series, though it has little connection to the original beyond the lead character of Edward Carnby and themes of supernatural monsters. Its setting was also updated to reflect a more modern period. Much of the gameplay design still remains in tact, however, with a mix of puzzle solving and combat performed within a series of fixed camera angles. </div>  <div> Gameplay : Each protagonist's gameplay differs in terms of the amount of action and puzzle related gameplay that the player will face with Carnby being the more action-orientated portion of the game and Aline's being more puzzle-orientated. Though the player can chose between either protagonist the stories of each of the characters both occur at the same time and interwoven together. Though there is no major difference in terms of how each character is controlled. </div>  <div> Story : Carnby.A thirty-three year old private eye, Edward Carnby travelled to Shadow Island to discover what exactly happened to his best friend, Charles Fiske, when Fiske was found dead on Shadow Island. As Carnby becomes more involved with the events taking place on Shadow Island, he becomes less interested in his initial goals and concentrates on finding a way off the island and to ensure Aline's safety. </div>  <div> Ports : Aline.A 27 year old Ethnology Professor at Boston University, Aline Cedrac travelled to Shadow Island to help Professor Obed Morton decipher Abkannis writing tablets as well as to search for the identity of her father. </div>  <div> Film : The last Abkannis witchdoctor, Edenshaw came to Shadow Island many years ago and has lived with the Morton family ever since. Edenshaw has watched over the Morton family for many years and has made it his mission to ensure that the gate to the World of Darkness is never opened. Edenshaw acts as an assistant to the player and will appear every now and again to reveal information that may or may not be necessary to the player. He plays a major role towards the end of the game. </div>  <div> System Requirements (PC) : Initially Edward assisted his brother in attempting to open the gate to the World of Darkness and made deals with Christopher Lamb in order to gain 'supplies' that he required in order to make further progress. Edward was revered by many for his work on the Abkannis tribe, though they were unaware of his methods of discovery. After a period of time, Edward realised just how terrible the things he was doing were and turned against his brother, Adam, refusing to assist him. </div>  <div> Availability : Charles Fiske, Edward Carnby's partner and best friend has been reported dead off the coast of Shadow Island. Carnby decides to investigate his best friend's death which leads him to meet with Frederick Johnson, Johnson informs Carnby of three ancient stone tablets that Fiske was searching for. The tablets are believed to unlock some form of incredibly dangerous power.Johnson requests that Carnby should take up Fiske's investigation and to search for the tablets. Carnby accepts that it is his personal priority however, is to find whoever killed Fiske. Johnson introduces Carnby to Aline Cedrac, a young and intelligent university professor. Aline accompanies Carnby to Shadow Island to help recover the tablets as well as to assist Professor Obed Morton, who she believes is her long-lost father. As their plane nears the coast of Shadow Island, it comes under attack by a creature of the island, which forces them to parachute out of the plane. They are separated, Aline landing atop the roof of a mansion and Carnby landing in some woods nearby. </div>  <div> External Links : Alone In The Dark: The New Nightmare was ported to the Game Boy Color by Pocket Studios and was first released in Europe alongside its console counterparts on May 18, 2001. The port was later released in America on June 25, 2001.When Alone In The Dark: The New Nightmare was ported to the Game Boy Color the handheld could not handle the 3D environments of the game, so the 3D was abandoned in favor of 2D sprites. The Game Boy Color received a relatively faithful port of the home console game. While the home console versions could be completed in six to eight hours, the Game Boy Color port could be completed in just one. </div> "
Animorphs,Runny-Fun,Ubi Soft,"December 15, 2000",gbc,3030-18970,"The best-received of the three Animorphs games, this RPG made much better use of the series' extended cast and universe. Battles play out similar to the Pokémon series, with turn-based battles and ""capturing"" morphs.",18970,0,2000-11-07,https://www.giantbomb.com/animorphs/3030-18970/,,
Antz Racing,RFX Interactive,Acclaim EntertainmentNAElectronic ArtsEU,"March 30, 2001",gbc,3030-4481,Antz Racing is a racing game for the Game Boy Color.,4481,0,2001-03-30,https://www.giantbomb.com/antz-racing/3030-4481/,ESRB: E, <div> Overview : Antz Racing is a racing game developed by RFX Interactive and published by Electronic Arts (Acclaim in the UK) for the Game Boy Color platform. Antz Racing is a licensed title based on the movie Antz. </div>  <div> Gameplay : Antz Racing Language SelectAntz Racing supports the ability to choose from six different languages:EnglishDeutschNederlandsEspanolFrancaisItaliano </div> 
