Title,Developer,Publisher,Release date NA,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
3 Ninjas Kick Back,Malibu Interactive,Psygnosis,"June 1, 1994",genesis,A ninja-themed video game based on the 1994 movie of the same name. Three ninja brothers must retrieve a stolen dagger.,3030-9169,9169,0,1994-06-01,https://www.giantbomb.com/3-ninjas-kick-back/3030-9169/,ESRB: E," <div> Overview : 3 Ninjas Kick Back is a 1994 action-platformer game for the Super Nintendo,  Sega Genesis and Sega CD. The player, as either Rocky (the green-garbed older brother, who uses a staff in-game), Colt (the blue-garbed middle brother, who uses a sword in-game) or Tum Tum (the yellow-garbed youngest brother, who uses a pair of sais), must make their way through a series of levels using their speed, reflexes and ninja skills. The game emphasizes climbing as a mechanic, allowing the player character to hold onto branches and swinging vines by holding up while jumping. From these vantage points, the player can progress in the stage or find hidden bonuses.3 Ninjas Kick Back is based on the 1994 movie of the same name, which was the second 3 Ninjas movie to be released. The plot concerns the theft of a dagger that was awarded to the trio's grandfather, Mori, for winning a tournament in Japan 50 years ago. The trio eventually head to Japan to track it down, fighting the goons of Koga (an embittered runner-up in the tournament) along the way.The Sega CD version of the game was bundled together with the 1992 SNES/Genesis licensed platformer Hook, which was also based on a family movie distributed by TriStar Pictures. </div> "
688 Attack Sub,MicroProse,Sega,July 1991,genesis,A nuclear submarine themed simulation game released by Electronic Arts.,3030-3480,3480,0,,https://www.giantbomb.com/688-attack-sub/3030-3480/,," <div> Overview : 688 Attack Sub is a submarine simulation game programmed by John W. Ratcliff and Paul Grace that was published by Electronic Arts in 1989 for PC MS-DOS and in 1990 for the Amiga. In 1991 it was also ported to the Genesis and was released by Sega alongside M-1 Abrams Battle Tank in the extremely short-lived ""Simulator Series"". In Japan a version for the NEC PC-98 was released in 1991 by Cross Media Soft.As the commander of a nuclear submarine, the player either sides with the American or the Soviet Navy. He commands either the eponymous USS Los Angeles (SSN-688) or the USS Dallas (SSN-700), both Los Angeles-class submarines, or an Alfa-class Soviet submarine. A total of ten individual missions have to be completed, ranging from the small, such as shaking off an opposing sub, to full scale participation in World War III.The PC version also offered the possibility to play two players in distributed roles against each other via modem(or null modem cable). Furthermore, the game was accompanied by a comprehensive manual, which informed the player in addition to the direct game instructions and the copy protection also tactics and technique of submarine warfare. Included were also a glossary for technical terms and data sheets of all vehicles and weapons contained in the game. Last but not least, the manual also contained some personal comments by the developer John W. Ratcliff.  </div> "
A Dinosaur's Tale,Funcom,Hi-Tech Entertainment,1993,genesis,"A Genesis game developed by Funcom, based on the animated movie ""We're Back: A Dinosaur's Story""",3030-1832,1832,0,,https://www.giantbomb.com/a-dinosaurs-tale/3030-1832/,,
AAAHH!!! Real Monsters,Realtime Associates,Viacom New Media,"August 15, 1995",genesis,"Based on the '90s Nickelodeon cartoon of the same name, players control a trio of young monsters-in-training as they venture out to the human world to evaluate their ability to terrify the population.",3030-17044,17044,0,1995-08-15,https://www.giantbomb.com/aaahh-real-monsters/3030-17044/,," <div> Overview : From left-to-right: Oblina, Ickis, and Krumm.AAAHH!!! Real Monsters is a 2D horror-themed side-scrolling platformer developed by Realtime Associates and published by Viacom New Media for the Super Nintendo Entertainment System and Sega Genesis in North America and Europe on August 15, 1995.Based on the Nickelodeon animated series of the same name, the game has players controlling a trio of young monsters (Ickis, Oblina, and Krumm) as they set out to complete their monster academy's ""midterm exam"" by venturing out into the human world and collecting certain specific objects (while scaring off humans).During the game, players can switch between each of the three monsters at any time, each with their own unique ability (such as Ickis's long leaps, Oblina's tall jumps, and Krumm using his detached eyeballs to scout off-screen areas). Along with throwing garbage at enemies, players can perform a limited-use ""scare"" which, if done at the right time, instantly defeats normal enemies on the screen (and takes out a significant amount of hit points on boss characters). </div> "
The Addams Family,Ocean Software,Flying Edge,October 1993,genesis,"The Addams Family isn't the highest-selling pinball machine in history for nothing.  It has humor, playability, and quirkiness that only the Addams can provide.  The collector's edition released in 1994 had gold accents to commemorate its wild success.",3030-22525,22525,0,,https://www.giantbomb.com/the-addams-family/3030-22525/,," <div> Features : Sound bytes by Anjelica Huston and Raul Julia, who played Morticia and Gomez in the movie.A computer-controlled flipper which activates after a certain sequence of shots is made, called the Thing Flipper, after the disembodied hand. This automated flipper was used successfully to lure players in by generating interest. How? The flippers would ""flip"" when the machine idled, while the machine was idle it would play the Addam's Family theme, and during the parts where finger snapping would occur, the flippers would activate in sync.A dot-matrix display, one of the first for a pinball machine. </div>  <div> Game Modes : There are thirteen (natch) different ""rooms"", or game modes, available by shooting the electric chair or swamp kickout on the field.3 Million: Player gets 3 million points.6 Million: Player gets 6 million points.9 Million: Player gets 9 million points.Extra Ball: Extra Ball is lit at Thing's eject. Hit that shot for an extra ball.Graveyard At Max: The bumpers, or ""graveyard"", advance to their maximum value, increasing the Graveyard value by 30,000 points per hit until the ball is lost.Hit Cousin It: The player has 20 seconds where all switches score 200,000 points. Hitting Cousin It, located near the middle of the table, scores 2 million points, and increases the switch value by 50,000.The Mamushka: For 20 seconds, every switch scores 250,000 points.Quick Multiball: Lights Quick Multiball at Thing's eject. Hitting that starts a two-ball multiball. Getting the ball into the Vault scores 5 million points, and can be increased by shooting the Vault or the center ramp. This continues until there is one ball remaining.Raise the Dead: The player has 30 seconds to hit as many bumpers as possible. All bumper hits are worth 100,000 points, and If any one bumper is hit 4 times, it scores 3 million points. After 30 seconds, or when all bumpers are hit 4 times, the round ends, but the 100,000-per-bumper scoring still applies.Seance: The player has 30 seconds to hit any ramp. The first hit is worth 5 million points, the second is 10 million, and the third is 15 million. Making it harder is the magnets that are activated under the playfield, which can knock the ball in any direction.Thing Multiball: The Thing Multiball value starts at 15 million points and dwindles down to 3 million, and Thing's eject is lit. Hitting it scores whatever value it shows, stops the countdown, and starts a two-ball multiball. Hitting the Vault scores the Multiball value. This continues until there is one ball remaining.Tunnel Hunt: The player has 20 seconds to hit three shots: Electric Chair, Swamp, and Vault. The first shot is worth 5 million points, the second shot is 10 million points, and the third is 15 million.When all twelve of these modes are played, the thirteenth mode is available, Tour the Mansion. </div> "
The Adventures of Batman & Robin,Clockwork Tortoise,Sega,"August 2, 1995",genesis,"A set of three separate games that share the same title and are all based on the Batman animated TV series. The SNES version is more of an action platformer, while the Genesis and Game Gear versions are more of a shooter and the Sega CD version consists of only Batmobile levels.",3030-12434,12434,0,,https://www.giantbomb.com/the-adventures-of-batman-and-robin/3030-12434/,ESRB: K-A," <div> Overview : The Adventures of Batman & Robin is a variety of different games. The SNES version is a traditional side-scrolling action game whereas the Genesis version is a two player game that plays like a shooter. But instead of using guns, Batman and Robin uses Batarangs and other projectiles to take out their foes. The Sega CD version consists of just Batmobile levels. </div>  <div> The SNES Version : The Adventures of Batman & Robin was originally titled ""Batman: The Animated Series"" after the show. But since the show got a name change, the game was delayed and then renamed to what it is called today and Robin was added as an NPC. Despite his appearance in the game, Robin is not a playable character. Each level is based off episodes of the series and shared dialogue and moments from them. Before each level Batman must choose from a variety of different weapons to take with him.The SNES version had 8 levels: </div>  <div> The Genesis/ Mega Drive Version : The Joker and Harley Quinn broadcast a television message to Batman inviting him to meet them at The Joker's Funhouse.Boss: The JokerBased on the episode(s): Christmas with the Joker, Be A ClownLevel title card </div>  <div> The Sega CD Version : Bizarre things are occurring at the forest in Gotham City suburban district there's only one person who would do such a thing. In this level, Batman refuses to use his fists, Bat Stars and Bat Explosives since there are only female enemies.Boss: Poison IvyBased on the episode(s): Pretty Poison, Eternal YouthLevel title card </div> "
Mighty Max,WJS Design,Ocean Software,February 1995,genesis,A 16-bit action platformer game based on the TV show of the same name which in turn was based on the toyline of the same name. Max's friends Bea and Felix are also playable characters.,3030-3680,3680,0,1994-12-09,https://www.giantbomb.com/mighty-max/3030-3680/,," <div> Overview : Mighty Max (EU: ""The Adventures of Mighty Max"") is a 16-bit platformer with shooter elements for the Super Nintendo and Sega Genesis released in late 1994. It was developed by WJS Design: a UK developer better known for their collaborations with Psygnosis for the Atari ST and Amiga. An Amiga version of Mighty Max was planned but fell through due to the system's imminent obsolescence.The player takes Max (or Bea or Felix, his two friends) and moves through various themed worlds taken from the cartoon. The goal is to explore the stages - which are fairly open - to find Skull Master's weapons and destroy them. </div> "
The Adventures of Rocky and Bullwinkle and Friends,Imagineering,Absolute Entertainment,"May 1, 1994",genesis,"Rocky and Bullwinkle is a platformer starring Bullwinkle the moose and the flying squirrel Rocky. It also includes mini-games featuring some of their friends, Dudley Do-Right and Sherman &amp; Mister Peabody.",3030-8118,8118,0,,https://www.giantbomb.com/the-adventures-of-rocky-and-bullwinkle-and-friends/3030-8118/,," <div> Overview : The Adventures of Rocky and Bullwinkle and Friends is a platformer action game featuring the characters from the long-running animated series The Rocky and Bullwinkle Show. In the game, the duo chase after some familiar-looking thieves who rob the Rocky and Bullwinkle Museum on its opening day. The player can also play basic mini-games featuring Dudley Do-Right, the fearless (and hapless) Canadian Mountie, and Sherman and Mister Peabody, a boy and his dog who regularly travel through time.The game was developed by Imagineering Inc. released on multiple systems by THQ. The NES and Game Boy versions were created first in late 1992, followed by the SNES and Genesis versions in mid-1993. The characters in the SNES version actually break the fourth wall to remark on the earlier versions and the similar material, displaying the same wry self-referential humor of the series it's based on. </div>  <div> Critical Reception : When the Genesis version was released Mike Weigand of Electronic Gaming Monthly gave the review score of 4 out of 10 writing, ""...This is an almost carbon-copy of the NES version, with the poor control intact! Dig the way Rocky attacks with those huge antlers and climbs the side of that mountain! The variety of games is nice, but the whole thing looks rushed"". </div> "
Aero the Acro-Bat,Iguana Entertainment,Sunsoft,"August 1, 1993",genesis,"Aero the Acro-bat's gameplay consists of simple platforming elements in which Aero, a red bat, that lives in a circus, must defend it from Edgar Ektor.",3030-19337,19337,0,,https://www.giantbomb.com/aero-the-acro-bat/3030-19337/,ESRB: E," <div> Overview : Aero the Acro-Bat is a mascot platformer from Iguana Entertainment, the studio best known for creating NBA Jam and Turok that would later become Acclaim Studios Austin. Aero was the second game Iguana developed after the football game Super High Impact.Aero the Acro-Bat was released on the Genesis and Super Nintendo in late 1993 in both Europe and the US, and was later ported to the GBA in 2002, where it made its Japanese debut. The SNES version was placed on the Wii's Virtual Console in 2010 for US and European regions. </div>  <div> Gameplay : The levels play out in typical 2D platforming style but in order to clear levels, the player must accomplish certain tasks so that the exit warp can be revealed. Those tasks include passing through hoops, stepping on platforms until they disappear, ride roller coasters, etc. There are 4 worlds with 5 levels in each one, and the levels are large, many of them containing awkwardly positioned spikes that kill instantly.Aero can attack enemies by shooting limited stars or by doing an aerial diagonal drill attack at his target (when he is in the air). </div> "
Aero the Acro-Bat 2,Iguana Entertainment,Sunsoft,January 1995,genesis,A Super Nintendo sequel featuring SunSoft's daredevil rodent in another high-flying adventure.,3030-11514,11514,0,1994-04-01,https://www.giantbomb.com/aero-the-acro-bat-2/3030-11514/,PEGI: 3+," <div> Overview : Aero the Acro-Bat 2 is a SNES-exclusive mascot platformer from Iguana Entertainment and SunSoft, and the sequel to the original Aero the Acro-Bat. The story involves Ektor narrowly surviving his climactic battle with Aero in the previous game, getting saved by his henchman Zero the Kamikaze Squirrel, while Aero accidentally falls into a magician's box and is teleported to an unknown location.As with the previous game, the platforming is built around Aero's ability to ""drill"" through the air. This works as both a means to attack enemies and as a double jump to get around obstacles, though the distance and direction is fixed: Aero can only fly at a 60 degree angle up or down (dependent on whether or not the player is holding down on the D-pad). Levels also have a number of secret areas and power-ups to find, often behind fake walls. Aero the Acro-Bat 2 also includes snowboarding levels.The credits of Aero the Acro-Bat 2 features a dedication to Ayrton Senna, the Formula One racer who passed away in the May of 1994. </div> "
