Title,Developer,Publisher,Release date NA,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
5 in 1 Mahjong,Beam Software,Interplay Entertainment,1994,gg,DSiWare mahjong,3030-36813,36813,0,2011-03-14,https://www.giantbomb.com/5-in-1-mahjong/3030-36813/,ESRB: E,
The Addams Family,Arc Developments,Flying EdgeAcclaim JP,1993,gg,"The Addams Family isn't the highest-selling pinball machine in history for nothing.  It has humor, playability, and quirkiness that only the Addams can provide.  The collector's edition released in 1994 had gold accents to commemorate its wild success.",3030-22525,22525,0,,https://www.giantbomb.com/the-addams-family/3030-22525/,," <div> Features : Sound bytes by Anjelica Huston and Raul Julia, who played Morticia and Gomez in the movie.A computer-controlled flipper which activates after a certain sequence of shots is made, called the Thing Flipper, after the disembodied hand. This automated flipper was used successfully to lure players in by generating interest. How? The flippers would ""flip"" when the machine idled, while the machine was idle it would play the Addam's Family theme, and during the parts where finger snapping would occur, the flippers would activate in sync.A dot-matrix display, one of the first for a pinball machine. </div>  <div> Game Modes : There are thirteen (natch) different ""rooms"", or game modes, available by shooting the electric chair or swamp kickout on the field.3 Million: Player gets 3 million points.6 Million: Player gets 6 million points.9 Million: Player gets 9 million points.Extra Ball: Extra Ball is lit at Thing's eject. Hit that shot for an extra ball.Graveyard At Max: The bumpers, or ""graveyard"", advance to their maximum value, increasing the Graveyard value by 30,000 points per hit until the ball is lost.Hit Cousin It: The player has 20 seconds where all switches score 200,000 points. Hitting Cousin It, located near the middle of the table, scores 2 million points, and increases the switch value by 50,000.The Mamushka: For 20 seconds, every switch scores 250,000 points.Quick Multiball: Lights Quick Multiball at Thing's eject. Hitting that starts a two-ball multiball. Getting the ball into the Vault scores 5 million points, and can be increased by shooting the Vault or the center ramp. This continues until there is one ball remaining.Raise the Dead: The player has 30 seconds to hit as many bumpers as possible. All bumper hits are worth 100,000 points, and If any one bumper is hit 4 times, it scores 3 million points. After 30 seconds, or when all bumpers are hit 4 times, the round ends, but the 100,000-per-bumper scoring still applies.Seance: The player has 30 seconds to hit any ramp. The first hit is worth 5 million points, the second is 10 million, and the third is 15 million. Making it harder is the magnets that are activated under the playfield, which can knock the ball in any direction.Thing Multiball: The Thing Multiball value starts at 15 million points and dwindles down to 3 million, and Thing's eject is lit. Hitting it scores whatever value it shows, stops the countdown, and starts a two-ball multiball. Hitting the Vault scores the Multiball value. This continues until there is one ball remaining.Tunnel Hunt: The player has 20 seconds to hit three shots: Electric Chair, Swamp, and Vault. The first shot is worth 5 million points, the second shot is 10 million points, and the third is 15 million.When all twelve of these modes are played, the thirteenth mode is available, Tour the Mansion. </div> "
The Adventures of Batman & Robin,Novotrade,Sega,1995,gg,"A set of three separate games that share the same title and are all based on the Batman animated TV series. The SNES version is more of an action platformer, while the Genesis and Game Gear versions are more of a shooter and the Sega CD version consists of only Batmobile levels.",3030-12434,12434,0,,https://www.giantbomb.com/the-adventures-of-batman-and-robin/3030-12434/,ESRB: K-A," <div> Overview : The Adventures of Batman & Robin is a variety of different games. The SNES version is a traditional side-scrolling action game whereas the Genesis version is a two player game that plays like a shooter. But instead of using guns, Batman and Robin uses Batarangs and other projectiles to take out their foes. The Sega CD version consists of just Batmobile levels. </div>  <div> The SNES Version : The Adventures of Batman & Robin was originally titled ""Batman: The Animated Series"" after the show. But since the show got a name change, the game was delayed and then renamed to what it is called today and Robin was added as an NPC. Despite his appearance in the game, Robin is not a playable character. Each level is based off episodes of the series and shared dialogue and moments from them. Before each level Batman must choose from a variety of different weapons to take with him.The SNES version had 8 levels: </div>  <div> The Genesis/ Mega Drive Version : The Joker and Harley Quinn broadcast a television message to Batman inviting him to meet them at The Joker's Funhouse.Boss: The JokerBased on the episode(s): Christmas with the Joker, Be A ClownLevel title card </div>  <div> The Sega CD Version : Bizarre things are occurring at the forest in Gotham City suburban district there's only one person who would do such a thing. In this level, Batman refuses to use his fists, Bat Stars and Bat Explosives since there are only female enemies.Boss: Poison IvyBased on the episode(s): Pretty Poison, Eternal YouthLevel title card </div> "
Aerial Assault,Sega,Sega,1992,gg,Aerial Assault is a horizontal scrolling shooter video game for Sega Master and Game Gear.,3030-12327,12327,0,,https://www.giantbomb.com/aerial-assault/3030-12327/,," <div> Gameplay : The player takes the role of a Freedom Fighter who has to destroy five targets, which includes: the Vinsk, teh CB-53 Bomber, El and two cliff fortresses. During each mission the player must battle enemy jets, choppers, submarines, jeeps, parachute bombs and several other different enemies. When the player shoots either the spinning fighters, small flying helicopters or the mines on the final mission, the player will earn a power-up that can then be used to upgrade or downgrade their firepower. The game includes three difficulty settings: Easy, Normal and Hard. The player cannot complete the game if they play on the easy setting.  </div>  <div> Plot : Years ago, an evil militaristic organization called N.A.C developed a huge laser emitter, called ""EL"". It was capable of gradually destroying the Earth's ozone layer. This, of course, posed a great threat to all life on the planet and cast a shadow of fear that went to the far corners of the Earth. In the year 1999, (where was I when this happened?) the N.A.C began an all-out fight against all the countries in the world. At first, each nations Self-Defense forces valiantly stood their ground against the most formidable adversaries, eventually they proved to be no match of the sheer power and size of the enemy. However, just as all seemed lost, the ""Freedom Fighters"" appeared. They weren't officially attached to any one nation, so they secretly deployed to clash with the unsuspecting enemy forces.  </div>  <div> Release Dates : Aerial Assault was originally released for the Sega Master System in 1990.  The game was also released on the Sega Game Gear handheld game console in 1992. </div> "
Alien³,Probe Entertainment Ltd.,ArenaAcclaim JP,1993,gg,An action game from Acclaim based on the 1992 David Fincher movie. The player assumes the role of Ripley as she explores the prison planet of Fury 161.,3030-14356,14356,0,,https://www.giantbomb.com/alien3/3030-14356/,," <div> Overview : With the release of the Alien 3 film several games were released to tie into the film. With the Super Nintendo and Genesis as the leading platforms the game was built and ported to other systems, including the Commodore 64 and Game Gear. The games are set on the world of the film, Fury 161, but the gameplay actually has more in common with the film Aliens, throwing wave after wave of enemies at the player. Whereas in Alien 3 there was only one xenomorph.The video game versions (except the Nintendo Entertainment System) were praised at the time of its release for not sticking with the lack of guns and multiple aliens in the film, which was the film's most criticized aspects. </div>  <div> SNES Version : The SNES version had varied missions to complete.In the SNES version, Ripley begins the game in a corridor where she can operate a computer terminal which gives her access to various missions. Missions have Ripley completing objectives such as destroying groups of eggs, fixing pipes or junction boxes, isolating rooms, killing Alien Queens or rescuing trapped inmates. Completing these missions leads to the game's ending, which is closer to the movie than the other versions. Like most versions of the game, the SNES version was liberal with the material, generating waves of enemies to combat.Unlike the other versions of the game, health, ammo and enemies respawn during the levels.There are 6 levels in total, each having a range of missions in them. Since completing a level takes around half an hour to an hour, the levels can be accessed via a password system.The soundtrack is inspired on that of the film's, unlike the Genesis's more action game music. Complex orchestrations delivered by the SNES's sound chip accompany the game to give it a movie-like feeling.The graphics are also superior, having rich detail in the backgrounds and effects like smoke and rain occurring in parts of Fury 161. Ripley and her enemies have smooth animations and there are lighting effects on the scenery and/or the objects when using a flame thrower in egg rooms or closing a door.The SNES version was released after the movie, therefore it doesn't contain any deleted scenes or scenery present at the time of the other versions' developments. </div>  <div> Genesis Version : The Genesis version was a slightly different case. Instead of missions in a large, persistent area, the game uses stages (or levels) like many other platformers of the time. The majority of these see the player fighting their way through hordes of Aliens in order to rescue prisoners before the timer runs out. When the timer does run out, the player is show a scene of each of the remaining prisoners giving birth to a chestburster Alien. In addition to these rescue missions, there are other mission instances. Every few missions the player must fight a boss alien (and in the games finale, two at once) and occasionally, the player will have to rescue lots of prisoners, without interference from Aliens. As well as the opposite, having to shoot lots of Aliens and reach the exit without needing to rescue prisoners.Rescue the prisoners as fast as possible, before this happens.The game consists of roughly 20 missions, each increasing in difficulty and features several different locations from the movie (such as the prison grounds, the lead works, the slaughter house, the Alien nest, etc) and features a number of weapons commonly seen in the franchise (but ironically, none of which were seen in the actual film) the pulse rifle, flamethrower, grenade launcher and hand grenades.In addition to this, the player is given health and battery pickups. The battery pickups allow the motion tracker in the top right hand corner of the screen to work for a short time, but once the battery has run out it reverts to being blank again until the player picks up another battery. Enemies include the ubiquitous Alien, as well as much later in the game Eggs and Facehuggers, in addition to the larger boss Aliens.Since the movie was subject to various creative inputs due to a lack of consent over the final script, many things were scrapped but some remained in the video game, such as the abattoir level (which is present in the recent Alien 3 Assembly Cut) and the fact that Ripley survives in the end. </div>  <div> Master System, Game Gear, Amiga and Commodore 64 Versions : The Master System and Game Gear versions are very similar to the Genesis version, the first few levels are exactly the same but with a major graphical downgrade. The player has access to largely the same arsenal of movements and weapons, as well as having a countdown clock and prisoners to rescue. Beyond the first few levels, they begin to differ slightly, but not much from the Genesis version of the game.The Commodore 64 version follows the same principle and scenery of the Genesis game, but with altered level design.The Amiga version looked and played similar to the Genesis version in terms of graphics but the player had to choose either to play the music or sound effects but not both. </div>  <div> NES Version : The NES version was developed by LJN LTD, and featured a drastically different visual style as well as gameplay mechanics. The graphics are indistinct, the Alien creatures appear to be vague shapes of solid color and the game world itself features a lot less detail than that of the Master System, or other versions. The game features a large HUD which occupies the bottom portion of the screen and displays information such as remaining ammunition. The game's sound effects were also a much lower quality than that of other versions. The game featured a variety of different mission locations taken from the film, and like the other versions the main objective throughout the game is to rescue prisoners on each level before proceeding to the exit.Though seen as a mediocre game at the time of its release, the game has been heavily criticized as time went by. </div> "
Andre Agassi Tennis,Spidersoft,Sega,1994,gg,This is the first tennis game to use Andre Agassi's likeness. It came out for many Sega and Nintendo platforms.,3030-19171,19171,0,,https://www.giantbomb.com/andre-agassi-tennis/3030-19171/,," <div> Overview :  Andre Agassi stars in his first tennis game that came out for the  SMS,  SNES,  Genesis and  Game Gear. This tennis game does not have any other notable tennis stars to note but features many game play options like practice, tournament and skins tournament that makes this game unique from other tennis games before it. </div>  <div> Gameplay : The game uses the same rules of tennis that is played today. A player must get over 40 points to win a game, 6 games to win a set and win 2 sets out of the 3 to finish the full match. The game allows the player to play either singles or doubles in either tournament or skins tournament. They can even select what court surface to play on like grass, clay, hard or indoor. After the player selects a type of game, they will have a choice of any of these players: Andre AgassiTiger BallRon PepperDon MattBob ""Bit"" ChinGeorge KingCarol ArkCassie NovaEach athlete has attributes for them like speed, strength (backhand, forehand and server) and accuracy (backhand, forehand and server) which makes the choice of athlete an interesting one. Once an athlete has been selected, two main buttons will be used during the match. The (A) button will help the player lob the ball in the air while the (B) button will help them hit the ball normally (this is for the Genesis version). When the ball is served or hit on the player's side of the court, they must get as close as possible to the ball and hit it back. The player can use either a backhand or forehand depending on their position before hitting the ball. They can move around the court and position themselves using the D-pad. </div>  <div> Game Modes : Practice Mode - This mode allows the player to select an athlete and have a ball machine feed them balls so the player can practice their game. There are no winner or losers in this mode.Tournament Mode - Like a career mode, the player selects an athlete to play as in a tournament and face many opponents before facing the final match and winning it all.Skins Tournament Mode - This is a tournament that places money down on each hit that takes place during the match. Whoever wins a point will receive the total amount of money in the pot. The pot starts with $10 and doubles each hit from there on in. </div> "
Arcade Classics,Al Baker and Associates,Sega,1996,gg,Three classic Namco arcade games on one disc.,3030-41103,41103,0,,https://www.giantbomb.com/arcade-classics/3030-41103/,,
Arch Rivals,Arc Developments,Flying Edge,1992,gg,"A two-on-two, rules-light, side-scrolling, arcade adaptation of the sport of basketball. Its best known for its punch-based combat and its status as a predecessor to the NBA Jam series.",3030-8857,8857,0,,https://www.giantbomb.com/arch-rivals/3030-8857/,," <div> Overview : Arch Rivals is a belt-scrolling basketball game developed and released by Bally/Midway for arcades in 1989.An arcade-style, two-on-two adaptation of the sport of basketball, Arch Rivals speeds up the pacing while removing most of the sport's rules, including most of its numerous fouls and violations. One of the major selling points of the game is the ability to punch opponents as a means of stealing the ball from them (with the taglines ""It's a BasketBRAWL!"" and ""No harm, no foul!""). Its game style was later improved upon with the 1993 spiritual successor, NBA Jam.The game was later ported to the Nintendo Entertainment System in November 1990, and to both the Sega Genesis and Sega Game Gear in 1992. The NES version was ported by Rare and published by Acclaim, while the other two versions were ported by Arc Developments and published by Acclaim's Flying Edge brand.Similar to other Midway arcade games at the time, Arch Rivals was included in numerous compilations throughout the 2000's, including Midway Arcade Treasures 2 (for PlayStation 2, Xbox, and GameCube), Midway Arcade Treasures: Extended Play (for PlayStation Portable), Midway Arcade Treasures Deluxe Edition (for PC), Game Center USA: Midway Arcade Treasures (for PlayStation 2), Midway Arcade (for iOS devices), and Midway Arcade Origins (for Xbox 360 and PlayStation 3). </div>  <div> Gameplay : Along with moving around the screen with the joystick, players have access to two buttons: Pass (White) and Shoot (Red). These buttons perform different actions depending on ball possession:If the player has the ball, pressing the Pass button causes them to pass the ball to their teammate, while pressing the Shoot button causes them to attempt a jump shot (or a dunk if close to the basket). The Pass button can be held down, leaving them unable to move (due to the ""double dribble"" rule), and pressing Shoot while in this state instead performs a ""Fake-Out"" jump shot.If the player's teammate has the ball, pressing either button causes them to call out plays (""Pass It!"", ""Over Here"", and ""I'm Open"" for passing and ""Shoot It!"" ""Put It Up!"", and ""Let's Go!"" for shooting), forcing their teammate to either pass or shoot.Otherwise, pressing the Pass button causes the player to throw a punch in an attempt to knockdown their opponents (causing them to drop the ball if they possess it), while pressing the Shoot button causes them to perform a jumping block (both for attempting to block an opponent's shot and for getting a rebound from a jump shot). The Pass button can be held down, and pressing Shoot while in this state causes the player to perform a leaping lunge (which steals the ball from the opponent if done right, but causes them to tumble to the floor otherwise). </div>  <div> Teams & Players : The game includes four fictional teams by default: Chicago (red/white), Los Angeles (blue/gold), Natural High (green/white), and Brawl State (purple/gold). Each match starts with a random combination of teams, and can re-shuffle the teams as long as they'd like.In the Arcade version, arcade operators can use the ""Hometown Heroes"" feature to change both the names and colors of each team. Other color combinations include blue/red, black/red, black/orange, black/gold, black/gray, black/white, purple/white, green/gold, purple/gold, and red/gold.In the NES version, the Away jerseys for all teams is white. In the Genesis and Game Gear versions, the colors of all teams are randomized (red/white, blue/white, green/white, gold/white, and purple/white), with no separate Home jersey.In all versions but the GG port, each player chooses one of eight fictional basketball players to represent them:Blade - A Crowd PleaserHammer - Rebound KingLewis - Top ShooterMohawk - Tough & MeanMoose - Real ChampReggie - All-AmericanTyrone - Defensive GiantVinnie - A Great PlayerWhile each player has their own description, it is unknown whether it affects their actual stats. Additionally, the game's high score tables are separated per-player. </div> "
Arena,Eden Entertainment Software,Sega,1996,gg,Fight for the freedom to exist as a magical freak!,3030-78311,78311,0,2020-05-20,https://www.giantbomb.com/arena/3030-78311/,,
Disney's Ariel the Little Mermaid,Blue Sky Software,Sega,1992,gg,"A side-scrolling action game developed and published by BlueSky in 1992, based on the hit Disney movie.",3030-6251,6251,0,1992-08-29,https://www.giantbomb.com/disneys-ariel-the-little-mermaid/3030-6251/,," <div> Overview : Disney's Ariel the Little Mermaid is a BlueSky developed and Sega published side-scrolling action game for Game Gear, Genesis, and Sega Master System, released in 1992.This game is not to be confused with Disney's The Little Mermaid, which was exclusive to Nintendo systems. </div>  <div> Gameplay : The game largely takes place in the ocean, with Ariel or King Triton swimming across a series of underwater stages. There are two shooting buttons, one is weaker and unlimited, while the other is stronger but has limited ammo. Flounder can be called into assist to push heavy stones out of the way. And Scuttle shop to buy items in change of the currency found in treasure chests.The Game Gear and Sega Master System versions feature shorter stages, and with less polyps to save, than the Genesis version. </div>  <div> Story : Ursula, the evil Witch of the Sea, has cast a spell on all merpeople, turning them into polyps. Ariel has to save them. </div>  <div> Stages : The following stages, and their boss fights, are specific to the Genesis version of the game.The Reef. Boss: Magmamouth.Sunken Ships. Boss: Glut the Shark.Atlantis. Boss: The Medusa.The Cave. Boss: Ursula.The Game Gear and Sega Master System versions replace the Glut boss with two smaller sharks, and The Medusa's three snakes with one snake. </div> "
