Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
1080° Snowboarding,Nintendo EAD,Nintendo,1-Apr-98,n64,"1080° Snowboarding, initially released on the N64 in North America on April 1st 1998, is among the best-selling snowboard racing games and well known for its excellent controls as well as outstanding gameplay. Due to its success on the N64 it was later re-released for the Wii virtual console in early 2008.",3030-18946,18946,0,2/28/1998,https://www.giantbomb.com/1080-snowboarding/3030-18946/,ESRB: E," <div> Overview : 1080° Snowboarding - Title ScreenIn 1080 Snowboarding, you control one of five characters in one of six different modes. These include a training mode for practicing tricks, a trick attack and contest mode, as well as, a time attack and single and multiplayer race modes. </div>  <div> Characters : ""Well known in Japan for his snowboarding skills. Kensuke joined the team because he wanted to be the best in the world.""NationJapanAge19GenderMaleSkillPointsTechnique8Maximum Speed8Balance6Power7Jump6   </div>  <div> Boards : Nation: USAAge: 20 Years OldGender: Male""Rob joined the team through Ricky's father. He's a skilled snowboarder, but still has a lot to learn.""SkillsTechnique: 8Maximum Speed: 9Balance: 7Power: 6Jump: 6  </div>  <div> Reception and Legacy : Nation: JapanAge: 17 Years OldGender: Female""Akari is new to the sport, but a hard worker. Her technique and jumping ability could make her a valuable asset to the team.""SkillsTechnique: 8Maximum Speed: 5Balance: 9Power: 3Jump: 8  </div> "
AeroFighters Assault,Paradigm Entertainment,Video System,21-Nov-97,n64,"The first and only 3D Aero Fighters game, this was Videosystem's last game. Known in Japan as ""Sonic Wings Assault"".",3030-17739,17739,0,11/22/1997,https://www.giantbomb.com/aerofighters-assault/3030-17739/,ESRB: K-A," <div> Overview : Aerofighters Assualt is the fourth and last game in the                      Aero Fighters franchise. Rather than being a       top down shoot 'em up like it's predecessors, Aerofighters Assault takes advantage of the Nintendo    Comparison of the US/EU and JP title screens      64's capabilities by becoming a                   3D air combat series similar to               Ace Combat. Players are able to choose from six (two of which are unlockable) aircraft, each with unique special weapons. Although    modeled and named after actual jets, the planes in Aerofighters Assault handle in an arcade like fashion, carry payloads in impossible quantities, and use fantastical special weapons.      </div>  <div> Controls  : The aircraft in Aerofighters Assault control in an arcade fashion, where stalls are non existent. The analog stick controls pitch, with up and down inverted as they would be on a jets joystick. Afterburners are mapped to the up C button, increasing speed, and the air-brake is mapped to the down C button, decreasing speed. Players can control yaw with the left and right C buttons, controlling their respective directions. As for armaments, the Z button is used to fire each planes primary machine gun, A fires the players primary missile attack, and B activates the defensive chaff. When available, each jets special weapon may be fired with the R button. The D-pad can be used to view camera angles around the players aircraft.   </div>  <div> Gameplay :  PracticeMain gameDeathmatchBoss Attack  </div> "
AeroGauge,Locomotive Corporation,ASCII Entertainment,30-Apr-98,n64,"A racing game set in the future, developed by Locomotive. ",3030-19906,19906,0,3/30/1998,https://www.giantbomb.com/aerogauge/3030-19906/,ESRB: E," <div> Overview : Aerogauge is a futuristic racing game that is similar to games like Extreme G, HSX, or Wipeout. The game supports two players.  One of the biggest difference between this game and the other futuristic racing games is than in Aero Gauge you fly instead of hover, so you can have more control over your ship. There are six tracks to race on. </div>  <div> Racers : There are ten different racers to choose from:InterceptorHornetAvengerShredderBlack LightningVengeanceProwlerReaperDominatorN64 Controller </div>  <div> Modes :  Grand Prix - First you must qualify, then race against the AI on four different courses.Single Match - Race on one course against the AI.Versus - Race head to head against a second person in split screen.Time Attack - Race alone and try to get the fastest time. </div> "
Aidyn Chronicles: The First Mage,H2O Entertainment,THQ,14-Mar-01,n64,Join Alaron on his quest to find answers in this adventure  RPG. ,3030-14602,14602,0,3/14/2001,https://www.giantbomb.com/aidyn-chronicles-the-first-mage/3030-14602/,ESRB: T,
All Star Tennis '99,Smart Dog,Ubi Soft,31-Aug-99,n64,A tennis game with professional player Michael Chang on the cover.,3030-13377,13377,0,,https://www.giantbomb.com/all-star-tennis-99/3030-13377/,ESRB: E,
All-Star Baseball '99,Iguana Entertainment,Acclaim Sports,27-Apr-98,n64,The first game in the All-Star Baseball series.,3030-19311,19311,0,4/30/1998,https://www.giantbomb.com/all-star-baseball-99/3030-19311/,ESRB: E, <div> Teams : Anaheim AngelsArizona DiamondbacksAtlanta BravesBaltimore OriolesBoston Red SoxChicago CubsChicago White SoxCincinnati RedsCleveland IndiansColorado RockiesDetroit TigersFlorida MarlinsHouston AstrosKansas City RoyalsLos Angeles DodgersMilwaukee BrewersMinnesota TwinsMontreal ExposNew York MetsNew York YankeesOakland A'sPhiladelphia PhilliesPittsburgh PiratesSaint Louis CardinalsSan Diego PadresSan Francisco GiantsSeattle MarinersTampa Bay Devil RaysTexas RangersToronto Blue Jays </div> 
All-Star Baseball 2000,Iguana Entertainment,Acclaim Sports,8-Apr-99,n64,All-Star Baseball 2000 is a baseball game released exclusively on Nintendo consoles. Yankees short stop Derek Jeter is featured on the cover of the game.,3030-4565,4565,0,3/31/1999,https://www.giantbomb.com/all-star-baseball-2000/3030-4565/,ESRB: E, <div> Overview : All-Star Baseball 2000 was developed by Iguana Entertainment (N64 release) and Realtime Associates (Game Boy Color release) and was published by Acclaim Entertainment Inc. </div>  <div> Gameplay : All-Star Baseball 2000 was one of the first baseball games that featured the ability to trade players. The game included a Play-off Mode where you could pick any team and play through the play-offs with to try to win the World Series. A home run derby mode was also included with the game. </div> 
All-Star Baseball 2001,High Voltage Software,Acclaim Sports,31-Mar-00,n64,A baseball game from Acclaim.,3030-12481,12481,0,2/29/2000,https://www.giantbomb.com/all-star-baseball-2001/3030-12481/,ESRB: E, <div> Overview : All-Star Baseball 2001 is a baseball game developed by KnowWonder (Game Boy Color version) and High Voltage Software (N64 version). All-Star Baseball 2001 was published by Acclaim for both versions. </div> 
Armorines: Project S.W.A.R.M.,Acclaim Studios London,Acclaim Entertainment,9-Dec-99,n64,"Based on the comic book of the same name, Armorines: Project S.W.A.R.M. has the player slaughtering invading aliens in an attempt to save Earth.",3030-6563,6563,0,11/30/1999,https://www.giantbomb.com/armorines-project-swarm/3030-6563/,ESRB: T," <div> Plot : Armorines: Project S.W.A.R.M. is based on the Armorines comic book, where armored marines fight aliens in the name of the United States government. You do much of the same in the game, but the enemies strike little resemblance to those in the comic. The Spider Aliens of the comic book are slightly humanoid, while those found in the game resemble over-sized bugs. You must save Earth from invading enemies, much like in the movie Starship Troopers released a couple of years earlier. </div>  <div> Gameplay : ScreenshotIt's a first-person shooter where each mission is objective-based. There are five environments, both on Earth and in space. Several game segments are on-rails. Player are ranked in a points system and promoted when due. There are two Armorines available for play, one slow and strong and one fast and adequate in strength. Two-player co-op and standard four-player Deathmatch are supported.The game uses Acclaim's Turok 2 engine. By using a Nintendo 64 Expansion Pak, the Nintendo 64 version can output in hi-res (640 x 480). The game had no analog support on the PlayStation version, making the control schemes difficult to use.On the GameBoy Color version, you play as a single marine with five weapons to choose from. There are six levels and seven kinds of enemies. </div>  <div> Characters : Gunnery Sergent Harold ""Gunny"" LewisLieutenant Myra Lane </div>  <div> Reception : Although sharing the same engine as the successful Turok 2: Seeds of Evil, the game did not fare well among videogame critics. IGN wrote that ""Armorines is a Starship Troopers add-on to the Turok 2 engine. Nothing more."" The GameBoy Color version generally received higher scores than the console versions. The Nintendo 64 version generally received higher scores than the PlayStation version; GameSpot wrote that discussing all the bad things about the PlayStation version ""would be like flogging a dead horse"" and that ""elements that were bland and boring in the Nintendo 64 version are downright offensive here.""A sequel for the game was planned, but then cancelled after the game's poor reception. </div>  <div> Prequel Comic : A four issue mini-series was released by Acclaim Comics prior to the games release. Due to low sales, these issues are hard to find, particualarly the final issue (featuring the X-O Manowar). </div> "
Army Men: Air Combat,The 3DO Company,The 3DO Company,19-Jul-00,n64,Army Men: Air Combat is another entry in the Army Men franchise.,3030-1691,1691,0,7/24/2000,https://www.giantbomb.com/army-men-air-combat/3030-1691/,ESRB: T, <div> Overview : Army Men: Air Combat is an action game developed by Fluid Studios (Game Boy Color version) and 3DO (Nintendo 64 version). Army Men: Air Combat was published by 3DO on both platforms. </div> 
Army Men: Sarge's Heroes,The 3DO Company,The 3DO Company,28-Sep-99,n64,"Play as a soldier fighting the Tans in an epic battle. Alongside your fellow soldiers, use loads of weapons to destroy enemies.",3030-11157,11157,0,9/30/1999,https://www.giantbomb.com/army-men-sarges-heroes/3030-11157/,ESRB: T," <div> Overview : Army Men: Sarge's Heroes is a third person shooter developed by 3DO Company (with ports by Saffire Corporation and Aqua Pacific). The Dreamcast versions of the game were published by Midway Games while The 3DO Company published the Nintendo 64, PlayStation, and PC versions. </div>  <div> Gameplay : In Army Men Sarge's Heroes the player takes control of Sarge and his squad. The player gets to take on various roles as various characters in the plastic melting battle against the Tan Army. </div>  <div> Release Dates : M16 M-60 Bazooka Sniper RifleMines Flamethrower Grenades Mortar  </div>  <div> System Requirements :  Cheat EffectPasswordCheat EffectPasswordLevel 2FLLNGDWN Level 11GTSLPLevel 3GTMLK Level 12SMLLVILL  Level 4CHLLBB Level 13CHRGT Level 5CLSNGN Level 14NTBRT  Level 6DGTHS Level 15RDGLR  Level 7 FRNKSTNLevel 16FSTNLS  Level 8BDBZLevel 17WHSWZRD  Level 9LBBCKGet RocketsRDGLR  Level 10DSKJB   </div> "
Army Men: Sarge's Heroes 2,The 3DO Company,The 3DO Company,26-Sep-00,n64,Sequel to 3D0's Army Men: Sarges Heroes. Sarge and his men (and women) fight the Tans once again.,3030-14160,14160,0,9/26/2000,https://www.giantbomb.com/army-men-sarges-heroes-2/3030-14160/,ESRB: T," <div> Overview : Army Men: Sarge's Heroes 2 is a third person shooter, developed and published by 3DO in 2000. The game takes place between Sarge's 'realistic' world and our world, in which Sarge is the size of a typical plastic Army Man soldier. It features many interactive effects, such as breakable wine bottles, bustable soda cans and music that spikes in intensity when enemies attack. During the game you will be swapping between several different characters.RiffThickShrapScorchPrivate Hoover </div>  <div> Gameplay : The gameplay consists of all the normal mechanics, crawling, kneeling down, jumping, climbing and auto aiming system. </div>  <div> Story : SH2 starts where SH left off. It is announced that the capture ( POW) of Field Marshal Tannenburg will end the war. Since General Plastro has disappeared, it is suggested that he has become a victim of plastrification and has been trapped in the real world. </div> "
Asteroids Hyper 64,Syrox Developments,Crave Entertainment,14-Dec-99,n64,This is a re-imagining of Asteroids for the N64 developed by Syrox Developments.,3030-437,437,0,12/14/1999,https://www.giantbomb.com/asteroids-hyper-64/3030-437/,ESRB: E,
Automobili Lamborghini,Titus France,Titus Software,30-Nov-97,n64,An arcade-style racing game for the Nintendo 64 that features supercars resembling their real-life counterparts (most prominently the Lamborghini Diablo and Lamborghini Countach).,3030-27569,27569,0,11/30/1997,https://www.giantbomb.com/automobili-lamborghini/3030-27569/,ESRB: K-A," <div> Overview : Automobili Lamborghini is a 3D street-circuit racing game developed and published by Titus for the Nintendo 64 on November 30, 1997 (in North America) and December 1, 1997 (in Europe). An enhanced version was later released in Japan by Taito on May 29, 1998 as Super Speed Race 64 (as a successor to their 1970's arcade game series Speed Race).The first N64 game that was developed by Titus, Automobili Lamborghini features eight playable supercars based on actual supercars, only two of which (the Lamborghini Diablo and Lamborghini Countach) are unlocked from the start. The game has six circuits that are split into two ""series"" (Basic and Pro). Along with a timed Arcade mode, players can play through all six circuits in Championship mode. </div>  <div> Cars : All eight supercars are based on actual supercars, six of which must be unlocked by completing a certain game mode on a certain difficulty. All unlockable cars can additionally be unlocked with a special cheat code (pressing R six times on the title screen).Lamborghini DiabloLamborghini CountachPorsche 959 (unlocked by winning the Arcade Mode Basic series on Novice)Ferrari Testarossa (unlocked by winning the Arcade Mode Pro series on Novice)Bugatti EB110 (unlocked by winning Championship Mode on Novice)Ferrari F50 (unlocked by winning the Arcade Mode Basic series on Expert)Dodge Viper (unlocked by winning the Arcade Mode Pro series on Expert)McLaren F1 (unlocked by winning the Championship Mode on Expert) </div> "
