Title,Developer,Publisher,Regions released North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
007 Racing,Eutechnyx,EA Games and MGM Interactive,"November 20, 2000",ps,Play as James Bond behind the wheel of his many cars and race around the world defeating enemies.,3030-16009,16009,0,2000-11-21,https://www.giantbomb.com/007-racing/3030-16009/,ESRB: T," <div> Introduction : In 007 Racing, take on the role of James Bond, the world's most famous secret agent in the game that puts you behind the wheel of some of the hottest vehicles in the Bond universe, including the Aston Martin DB5, BMW Z8, Lotus Esprit and others.Each of these Bond vehicles comes equipped with a complete arsenal of Q-Branch gadgetry. With daunting missions against a host of Bond villains, you'll need all your wits to survive these assignments in one piece. Set within a variety of exotic locales, the missions are inspired from the greatest 007 films and include assignments of pursuit, evasion, stealth, and surveillance.Be Bond behind the wheel! </div>  <div> Mission Structure : The mission structures that appear throughout the game consist of racing against an opponent, racing against the clock, racing to an objective, or all three combined. </div>  <div> Vehicles : Most of the vehicles are inspired by the movies and novels. They consist of:Lotus EspritBMW Z3BMW Z8BMZ 750iLAston Martin DB5 </div>  <div> Gadgets : Like the vehicles, the gadgets were inspired by the novels and the films. Some examples of these include a rocket launcher, smoke screen, machine guns, shields, and more. </div> "
007: The World Is Not Enough,Black Ops Entertainment,EA Games and MGM Interactive,"November 8, 2000",ps,"The World Is Not Enough, a video game adaption of the actual hollywood movie, follows James Bond on his secret mission both to unravel the mysterious intentions of a femmè fatale called Elektra King and to uncover the plans of his vicious counterpart Renard.",3030-18168,18168,0,2000-11-01,https://www.giantbomb.com/007-the-world-is-not-enough/3030-18168/,ESRB: E," <div> Overview : Coming off the failure that was Tomorrow Never Dies, publisher EA wanted to return to James Bond's roots as a first-person shooter. The game, based on the film of the same name, had a different developer for each of the three platforms that it was released on. The Nintendo 64 version was developed by Eurocom, the PlayStation version was developed by Black Ops Entertainment, the developer of the previous James Bond game Tomorrow Never Dies, and by 2n Productions for the Game Boy Color. Versions of the game for the PC and PlayStation 2 were planned for release but were later cancelled midway through the development cycle.The Nintendo 64 version of the game featured a multiplayer mode that was absent from the PlayStation version. The Nintendo 64 version also supported both Rumble Pak and Expansion Pack accessories. The game features 14 single player missions that follow the story of the film very closely. Just like GoldenEye 007, the game featured three difficulty levels: Agent, Secret Agent, and 00 Agent. Completing missions on a certain difficulty would allow players to unlock additional multiplayer maps such as a dark Eastern European forest, a version of MI6's Scotland Headquarters and ski resort complete with working gondolas, and an airplane. The PlayStation version is known for lacking three levels, a level of difficulty and multiplayer modes.The campaign contained multiple gadgets and numerous weapons the player could use. Each weapon had a second setting on it, such as the SA90, which could switch between single and burst modes of fire.The World is Not Enough contained a robust split-screen mode found in most James Bond games. Players could customize their experience in various ways. They could choose what weapons they wanted to be available ( sniper rifles, explosive weapons, close combat etc.), choose how they wanted their avatar to look while playing in the game, have either vertical or horizontal split-screen, and select score limit and match time. Players could fight in teams, Free-for-All, Last Man Standing, uplink, Capture the Flag and King of the Hill modes. During the game, players could pick up various gadgets and aids such as body armor and night vision goggles. </div>  <div> Weapons : P90Ingalls Type 90Meyer TMP </div> "
007: Tomorrow Never Dies,Black Ops Entertainment,Electronic Arts and MGM Interactive,"November 16, 1999",ps,Tomorrow Never Dies is a third-person shooter for the PlayStation based off of the 1997 film.,3030-6383,6383,0,1999-11-16,https://www.giantbomb.com/007-tomorrow-never-dies/3030-6383/,ESRB: T," <div> Overview : Released exclusively for the  PlayStation, Tomorrow Never Dies is the first  James Bond game published by  EA after the success of  Rare's  GoldenEye. However, unlike the multiplayer-enabled  first-person shooter, Tomorrow Never Dies is a single-player only affair that takes place in the  third-person. Based on the movie of the same name, James Bond must stop a media mogul attempting to incite World War III.The game has ten missions, one of which includes a brief driving section where the player takes control of the BMW from the movie. Additionally, there are two levels which conclude with the player must escaping on skis. Locations of the game include Saigon, Beijing, and a Russian military base. </div> "
101 Dalmatians II: Patch's London Adventure,Backbone Entertainment,Eidos Interactive,"October 14, 2003",ps,Disney's 101 Dalmatians II: Patch's London Adventure is a 101 Dalmatians themed action platforming game.,3030-3115,3115,0,2003-10-14,https://www.giantbomb.com/disneys-101-dalmatians-ii-patchs-london-adventure/3030-3115/,ESRB: E, <div> Overview : Disney's 101 Dalmatians II: Patch's London Adventure is an action/platforming game developed by Digital Eclipse and published by Eidos for the PlayStation platform </div> 
102 Dalmatians: Puppies to the Rescue,Crystal Dynamics,Eidos Interactive,"November 15, 2000",ps,102 Dalmatians: Puppies to the Rescue follows the storyline of the movie it was based on and allows you to play as Oddball or Domino to foil DeVil's plans.,3030-9637,9637,0,2000-11-15,https://www.giantbomb.com/disneys-102-dalmatians-puppies-to-the-rescue/3030-9637/,ESRB: E," <div> Overview : 102 Dalmatians: Puppies to the Rescue is a platformer developed by Crystal Dynamics and published by Eidos Interactive (Dreamcast and Playstation Versions), Activision (Game Boy Color Version), and Disney Interactive (PC Version). </div>  <div> Game Boy Color Version : The Game Boy Color version of Disney's 102 Dalmatians: Puppies to the Rescue is a 2D platforming game. The goal of each level is to collect the key and rescue a set number of dogs from their cages. None of the cages can be opened until after the levels key has been found.There are 17 total levels, with a couple of those being boss fights. At the beginning of the game the player has the option of picking between two puppies, Domino and Oddball. </div> "
1Xtreme,Sony Interactive Studios America,"SCEANA, SCEEPAL, SCEIJP","September 9, 1995",ps,"ESPN Extreme Games, later named 1Xtreme, is a Playstation game that features many of the sports from the Summer X-Games of 1995.",3030-1870,1870,0,1995-09-09,https://www.giantbomb.com/espn-extreme-games/3030-1870/,ESRB: E," <div> Overview : The game's updated coverESPN Extreme Games is an extreme sports game developed by Sony Computer Entertainment of America and published by Sony Computer Entertainment America for the PlayStation in the US, Sony Computer Entertainment Europe in EU regions, and Sony Computer Entertainment in Japan.The game was published on PC by Sony Imagesoft in the US and Psygnosis Limited in EU regions.The game was eventually renamed 1Xtreme because the ESPN license had expired.  </div>  <div> Gameplay : The gameplay in ESPN Extreme Games combines multiple extreme sports into one video game. This including skateboarding, mountain biking, street luge, and rollerblading. Although this equipment is all very different, they all control the same.The main goal of the game is to work the way through a linear track to get to the finish line. Additionally, players are able to kick and punch their opponents in hopes of stopping them from reaching the finish line.Players can speed up or slow down using the X or triangle buttons while the circle or square buttons allows players to jump over or crouch under various obstacles. </div>  <div> Launch Game : There are dozens of different obstacles on each of the five courses which threaten to slow players down and knock them off their vehicle. Each obstacle has a different mass and stability, making some easier to overcome than others. The difficulty which the game was set to not only affects the AI skill, but also the amount of obstacles on any given course. </div> "
2002 FIFA World Cup,EA Canada,EA Sports,"April 23, 2002",ps,"An entry in EA's soccer franchise released to coincide with the 2002 World Cup. It is very similar to the previously-released FIFA 2002, with a few additions and tweaks.",3030-14877,14877,0,2002-04-30,https://www.giantbomb.com/2002-fifa-world-cup/3030-14877/,ESRB: E," <div> Overview : The gameplay in 2002 FIFA World Cup is almost identical to FIFA 2002, which was released only 6 months prior. Most notably, it introduced to the franchise what are effectively passive abilities. If a player is especially renowned for being an exceptional passer, his passes can curve past defenders. If he is known for his running, he might run faster than anyone else on the pitch.The A.I has four levels of difficulty:Amateur - The easiest difficulty setting. The A.I rarely tackles and gives away penalties on a regular basis. Their shooting is inaccurate, and when dribbling they rarely sprint.Semi Pro - While still easy, the A.I has made improvements. They will rarely foul the player, but will still shoot inaccurately and make running errors.Pro - The biggest leap between difficulties. The A.I never makes stupid fouls, and are deadly at close range. However, they still apply primitive tactics.World Class - The hardest difficulty setting. The A.I will score almost every time within 30 yards. Their tactics are advanced and they are fast on counter-attacks. </div>  <div> Gameplay : The game's soundtrack is fully orchestral. Whenever a goal is scored, one of 7 orchestral pieces are played, seemingly at random. </div> "
2Xtreme,Sony Interactive Studios America,"SCEANA, SCEEPAL","October 31, 1996",ps,"2 Xtreme is an extreme sports racing game from Sony Computer Entertainment America. Race through LA, Vegas, Africa, and Japan while scoring points and performing tricks.",3030-20823,20823,0,1996-10-31,https://www.giantbomb.com/2-xtreme/3030-20823/,ESRB: E," <div> Gameplay : In 2 Xtreme you race against others as you pass through gates to collect power-ups while also scoring points and winning the race.  Points are scored by passing through gates and performing tricks.  Holding down the 'X' button will cause you to accelerate, at the expense of draining your health bar, and holding the 'O' button will make you crouch to maintain speed.  You can knock other players off their boards/bikes/skates by getting within close proximity of each other and pulling the appropriate trigger to fight.  The ease at which you will fall depends on the state of your health bar.  Some gates on the track give you bonuses like speed boosts, full health, increased jump height, and guaranteed knockdowns.  These abilities can be activated by pressing the 'L2' button. </div>  <div> Game Modes : There are two gameplay modes in 2 Xtreme: Exhibition and Season.   </div>  <div> Locations : Exhibition is a normal race mode where you pick the vehicle and skater/biker/boarder then complete one race on the course of your choosing.   </div>  <div> Power-Ups : Season mode is a 12 race competition, involving all 12 courses, against 9 other racers.  As the season progresses, each racer is ranked based on their finishing position, point totals, and race completion time.  The goal is to come out on top of the rest of the field at the end of the season.  During the season the course selection is predetermined and you are unable to change players.  However, you can still alter the vehicle attributes between races. </div>  <div> Additional Information : You can race through four levels:(each locale has three tracks) </div> "
3D Baseball,Crystal Dynamics,"Crystal DynamicsNA, BMG InteractiveJP","October 31, 1996",ps,3D baseball at the time it was released was said to be the most realistic baseball game ever.,3030-21850,21850,0,1996-10-31,https://www.giantbomb.com/3d-baseball/3030-21850/,ESRB: K-A,
3Xtreme,989 Studios,989 Studios,"March 31, 1999",ps,"The sequel to 2 Xtreme. A racing game featuring skateboarding, inline skating, and BMX bikes.",3030-22106,22106,0,1999-03-31,https://www.giantbomb.com/3-xtreme/3030-22106/,ESRB: E," <div> Gameplay : 3 Xtreme, like its predecessor 2 Xtreme, is an action sports racing game.  Gameplay in 3 Xtreme involves racing against other players, under either AI or human control, while passing through gates and doing tricks to earn points. There are three types of vehicles in the game: skateboards, inline skates, and BMX bikes.  These can be chosen at the beginning of the race or season. Grind rails can also be found throughout each course, which you can grind on to earn additional points. </div>  <div> Game Modes :  </div> "
