Title,Developer,Publisher,Release date North America,console,deck,guid,id,number_of_user_reviews,original_release_date,site_detail_url,game_rating,description
3 Ninjas Kick Back,Malibu Interactive,Sony Imagesoft,"June 19, 1994",snes,A ninja-themed video game based on the 1994 movie of the same name. Three ninja brothers must retrieve a stolen dagger.,3030-9169,9169,0,1994-06-01,https://www.giantbomb.com/3-ninjas-kick-back/3030-9169/,ESRB: E," <div> Overview : 3 Ninjas Kick Back is a 1994 action-platformer game for the Super Nintendo,  Sega Genesis and Sega CD. The player, as either Rocky (the green-garbed older brother, who uses a staff in-game), Colt (the blue-garbed middle brother, who uses a sword in-game) or Tum Tum (the yellow-garbed youngest brother, who uses a pair of sais), must make their way through a series of levels using their speed, reflexes and ninja skills. The game emphasizes climbing as a mechanic, allowing the player character to hold onto branches and swinging vines by holding up while jumping. From these vantage points, the player can progress in the stage or find hidden bonuses.3 Ninjas Kick Back is based on the 1994 movie of the same name, which was the second 3 Ninjas movie to be released. The plot concerns the theft of a dagger that was awarded to the trio's grandfather, Mori, for winning a tournament in Japan 50 years ago. The trio eventually head to Japan to track it down, fighting the goons of Koga (an embittered runner-up in the tournament) along the way.The Sega CD version of the game was bundled together with the 1992 SNES/Genesis licensed platformer Hook, which was also based on a family movie distributed by TriStar Pictures. </div> "
The 7th Saga,Produce,Gameplan21 (JP)Enix (NA),"August 3, 1993",snes,Seven heroes on a quest to collect seven runes to save the world.,3030-20389,20389,0,1993-04-23,https://www.giantbomb.com/the-7th-saga/3030-20389/,ESRB: E," <div> Overview : The 7th Saga is an RPG published by Enix in 1993 for the SNES, released in its native Japan as Elnard. Despite being a fairly straightforward RPG, the 7th Saga included a few unique twists that set it slightly apart from the crowd. First, the game provides the player with an opportunity to choose between seven different characters at the beginning, each with their own backstory and playstyle. Next, one of the core gameplay mechanics is that the other characters the player didn't choose are on the same quest, and the player can try to recruit them to their team (only one companion at a time however) or fight them for their runes. The 7th Saga is also one of the first RPGs to show enemies on the minimap, and is famous for its near impossible difficulty. </div>  <div> Characters : Each of the characters listed below are available at the onset of the game, and will continue to play a vital role in the story (some more so than others). When choosing a companion character, it is good to balance their strengths with the player character's weaknesses. </div>  <div> Story : Wilme in BattleAn alien of unknown origins but apparently on a quest for the power the runes can provide, Wilme specializes in fire magic and other fire-based attacks. He has high HP but can equip only certain items. </div> "
A.S.P.: Air Strike Patrol,SETA,SETA (JP/NA)System 3 (EU),"February 18, 1994",snes,"Air Strike Patrol is an isometric, tactical jet fighter shoot 'em up developed by Opus for the SNES. It was released in Europe by System 3 Software, where it was known as Desert Fighter.",3030-18670,18670,0,1994-02-18,https://www.giantbomb.com/asp-air-strike-patrol/3030-18670/,," <div> Overview : A.S.P. Air Strike Patrol (Desert Fighter in Europe and Japan) is an isometric jet fighter game superficially similar to EA's Strike series. The player must choose a load-out for their fighter jet and has a series of mission critical targets to find and destroy, but they can also explore the large maps for additional goals, fuel and ammo permitting.The game was originally published in Japan by SETA Corporation in early 1994. It would be released in Europe later the same year by System 3, and then in the US the following year. </div>  <div> Story : A.S.P. takes place in a fictionalized version of the Gulf War of the early 90s. The player is a UN jet fighter pilot, a member of the eponymous Air Strike Patrol, who is assigned various missions in areas around a fictitious Middle Eastern country named Zaraq. The ultimate goal is to oust Zaraq's dictator, who is later revealed to be working with some unconventional outside help. </div>  <div> Gameplay : Players are expected to outfit their craft before sorties (mission attempts), using upgrades they've acquired to equip one of two real jet fighters: The  F-15 and the  A-10. After reviewing the mission report and selecting an entry point, the player begins their sortie.Sorties play similarly to the Strike games: The player controls a jet plane flying a few hundred meters from the ground in an isometric landscape. Their fuel and ammo is limited and they must destroy as much of the mission targets (while also observing secondary missions, such as limiting civilian casualties and property damage) before they must leave the mission area to refuel. Targets appear on a mini-map, and each destination (RADAR bases, chemical weapons factories, etc.) have several buildings which count towards its destruction percentage. Usually hitting a certain target percentage is all that's necessary for mission completion, though occasionally this target is 100% and the player must be careful to eliminate every element on every base.After a sortie, the player is rated on how effective they were, including speed, accuracy and damage caused to the enemy (including non-mission targets) and are penalized if they let their jet get destroyed (which happens at zero fuel or zero health) or if they eliminated any friendly units, which tend to have brighter/greener coloration, or Zaraq civilians. The player then starts the process over with the next sortie, until the mission target has been reached. Most missions have multiple areas the player must visit for their mission goal, and may only visit one per sortie.Each region has a finite amount of resources, including enemy troops. Players can use the map to see how many enemy units are left on the map: If the player has remaining fuel and no more mission targets during a sortie, they may decide to chase these enemies down. These are generally non-crucial to missions, but may enhance the player's final score. </div> "
AAAHH!!! Real Monsters,Realtime Associates,Viacom New Media,"August 15, 1995",snes,"Based on the '90s Nickelodeon cartoon of the same name, players control a trio of young monsters-in-training as they venture out to the human world to evaluate their ability to terrify the population.",3030-17044,17044,0,1995-08-15,https://www.giantbomb.com/aaahh-real-monsters/3030-17044/,," <div> Overview : From left-to-right: Oblina, Ickis, and Krumm.AAAHH!!! Real Monsters is a 2D horror-themed side-scrolling platformer developed by Realtime Associates and published by Viacom New Media for the Super Nintendo Entertainment System and Sega Genesis in North America and Europe on August 15, 1995.Based on the Nickelodeon animated series of the same name, the game has players controlling a trio of young monsters (Ickis, Oblina, and Krumm) as they set out to complete their monster academy's ""midterm exam"" by venturing out into the human world and collecting certain specific objects (while scaring off humans).During the game, players can switch between each of the three monsters at any time, each with their own unique ability (such as Ickis's long leaps, Oblina's tall jumps, and Krumm using his detached eyeballs to scout off-screen areas). Along with throwing garbage at enemies, players can perform a limited-use ""scare"" which, if done at the right time, instantly defeats normal enemies on the screen (and takes out a significant amount of hit points on boss characters). </div> "
ABC Monday Night Football,Data East / Kuusoukagaku,Data East,"December 7, 1993",snes,"A football game based on the long-running TV show of the same name. The game lacked any NFL licensing, so the team names are all fictitious.",3030-2708,2708,0,1993-11-26,https://www.giantbomb.com/abc-monday-night-football/3030-2708/,," <div> Overview : ABC Monday Night Football is a professional football game from Data East. The game uses a vertical perspective of the field, placing the goals on the far and near sides of the screen. The SNES version used Mode 7 to display a sense of depth, but the original versions would simply scroll the screen as the ball moved up or down the field. The game is licensed by ABC to use its namesake program, but not by the NFL or NFLPA; subsequently, all the teams have fake names.The game was originally released for home computers, appearing on the Amiga, PC and Commodore 64. A SNES port developed by Kuusou Kagaku came a few years later with some graphical enhancements.The game was followed by ABC Wide World of Sports Boxing, another sports game licensed by ABC and produced by Data East.   </div> "
ACME Animation Factory,Probe Software,Sunsoft,"November 5, 1994",snes,"An art tool and video game for the Super Nintendo which contains a number of different utilities for creating animations, music and artwork featuring the Looney Tunes.",3030-30605,30605,0,,https://www.giantbomb.com/acme-animation-factory/3030-30605/,," <div> Overview : ACME Animation Factory is an art creation program on which players can use the SNES Mouse peripheral in order to paint, music, color, and animate pictures. The game is licensed by and features characters from the Looney Tunes franchise. It was released exclusively for the Super Nintendo in 1994.There is also a video game mode where the player can play Concentration (a.k.a. Memory) with animated Looney Toons characters; this mode has an added wrinkle where the player must avoid ""broken"" cards that will end the game prematurely if the player uncovers three of them (out of four). The player has a minute to find all seven pairs, and can reset the game with different configurations. </div> "
ActRaiser,Quintet,Enix,"November 1, 1991",snes,ActRaiser is a hybrid of two genres: city-building and action platformer. The player takes control of the powerful entity known as the Master in his quest to rebuild civilization.,3030-7274,7274,0,1990-12-16,https://www.giantbomb.com/actraiser/3030-7274/,ESRB: E10+," <div> Overview : The title screen of the Super Nintendo versionActRaiser is a Super Nintendo Entertainment System city-building simulation and action hybrid. The game was developed by Quintet and published by Enix (before their merge with Square), and the game was released during November of 1991. Although there was a sequel for the game, ActRaiser 2, it completely abandoned the simulation aspects of the original, which caused many fans to dislike it.ActRaiser was also released in 2007 on the Wii Virtual Console in Europe, North America, and Japan. European mobile phones got a version of the game with a 2004 release as well. The game was also part of the Nintendo Super System, an arcade system that allowed gamers to preview upcoming releases.ActRaiser is a relatively well-received game. It was accepted into GameSpot's Greatest Games of All Time in 2003 and was rated the 150th best game on a Nintendo system by Nintendo Power. </div>  <div> Plot : Not much of a plot exists in the actual game itself in ActRaiser. However, much is explained via the instruction booklet. The instruction booklet states that Tanzra and his six guardians attacked the Master. The Master was injured after the long battle, so he retreated to his sky palace and proceeded to fall into a deep sleep.While the Master was sleeping, Tanzra drove the world into ruins. He divided the world into six lands with each being ruled by one of the guardians. When the Master awakes, fully rejuvenated, he is ready to free the world from the oppression of Tanzra.After defeating Tanzra, civilizations begin to stop worshiping the Master with many losing faith in him and turning to other things. The servant notes this, and says that people only appear to pray and trust to the Master in times of trouble. </div>  <div> Gameplay : In ActRaiser, the player takes control of an incredibly powerful being known only as the Master. The Master has been awakened from a deep sleep to find the world in ruin. He and his loyal servant (a small angelic creature) then set out to rebuild civilization.The Master takes the form of a warrior; here he is battling a bossTo begin this rebuilding process, the Master positions his sky palace above an area filled with enemies and demons. Then, the Master takes on the form of a strong warrior wielding a large sword. In these side-scrolling areas, the warrior uses his sword to dispatch many hazards, such as environmental hazards or monsters. The warrior can pick up power-ups by destroying statues situated in certain places around the level. The power-ups have a variety of effects, from healing the warrior, to bonus points. After defeating the boss of the level, the warrior moves onto the next section of the city-building portion.The life bar that the Master has in his warrior form can also be extended as the Master gains levels. Leveling up is done through an experience system, in which the combined population of the Master's rebuilt towns amasses into experience. Also gained in leveling up is more SP, which can then be used to preform miraculous events in the city-building part of the game. Magical spells can also be granted to the Master through his followers that he can use in his warrior form. These spells deal significantly more damage than regular attacks, making them essential to the completion of the game.In the city-building portion of the game, the player takes control of the Master's servant, a small cupid-like creature. Each town begins with only two humans, who then follow the Master's commands and aid him in rebuilding his world. They must be guided (the direction they are guided in is where they will build), and in turn will build houses, roads, and farms. The villagers eventually gain use of other skills, such as composing music or creating bridges.Building a cityThe Master also has the use of several magical powers in the city-building portion. He can summon lightning, rain, sun, wind, or earthquakes. Using these abilities, trees, rocks, snow, monsters, and much more can be cleared. In a few sections of the game, the abilities must be used to assist the villagers, starting windmills or putting out fires, for example.However, the city-building isn't calm. There are several Monster Lairs scattered around the map. Monsters are spawned out of these lairs. The people have the ability to seal these lairs, making it a necessity to guide the population to the lairs. The cupid can attack the monsters using his arrows, but once he loses all of his life, he cannot attack until the people increase in population. Once all of the Monster Lairs are sealed, the people can gain even more advanced technology and techniques. </div>  <div> Soundtrack : Symphonic Suite from ActRasierThe critically acclaimed 16-bit soundtrack was composed by Yuzo Koshiro. Brad Shoemaker described it as:Orchestral video game soundtracks are the norm these days, but back then, the realistic instrument samples really brought out the beauty of Koshiro's aural backdrop. Even though it was a first-generation SNES game, ActRaiser's score remains one of the finest on the systemOn Sep. 21, 1991, Koshiro released a 'Symphonic Suite From ActRaiser' CD that used a full orchestral arrangement for the soundtrack. It contained the following 10 tracks:#Track NameDuration (30:40)1Opening ~ Tenkujo ~ Blood Pool ~ Casandora4:202Intermezzo I0:183Filmoa2:534Intermezzo II0:315Aitos ~ Temple ~ Korin ~ Sekaiju5:196Intermezzo III0:207Pyramid ~ Marana ~ Seijyaku ~ North Wall5:568Hitobito no Tanjyo ~ Sasagemono3:069Maju Arawaro ~ Kyoteki ~ Satan3:1810Heiwa na Sekai ~ Ending4:39 </div> "
ActRaiser Renaissance,Quintet,Enix,"November 16, 1993",snes,A remake of the original ActRaiser.,3030-83986,83986,0,2021-09-23,https://www.giantbomb.com/actraiser-renaissance/3030-83986/,ESRB: E,
The Addams Family,Ocean Software,Ocean Software,"March 10, 1992",snes,"The Addams Family isn't the highest-selling pinball machine in history for nothing.  It has humor, playability, and quirkiness that only the Addams can provide.  The collector's edition released in 1994 had gold accents to commemorate its wild success.",3030-22525,22525,0,,https://www.giantbomb.com/the-addams-family/3030-22525/,," <div> Features : Sound bytes by Anjelica Huston and Raul Julia, who played Morticia and Gomez in the movie.A computer-controlled flipper which activates after a certain sequence of shots is made, called the Thing Flipper, after the disembodied hand. This automated flipper was used successfully to lure players in by generating interest. How? The flippers would ""flip"" when the machine idled, while the machine was idle it would play the Addam's Family theme, and during the parts where finger snapping would occur, the flippers would activate in sync.A dot-matrix display, one of the first for a pinball machine. </div>  <div> Game Modes : There are thirteen (natch) different ""rooms"", or game modes, available by shooting the electric chair or swamp kickout on the field.3 Million: Player gets 3 million points.6 Million: Player gets 6 million points.9 Million: Player gets 9 million points.Extra Ball: Extra Ball is lit at Thing's eject. Hit that shot for an extra ball.Graveyard At Max: The bumpers, or ""graveyard"", advance to their maximum value, increasing the Graveyard value by 30,000 points per hit until the ball is lost.Hit Cousin It: The player has 20 seconds where all switches score 200,000 points. Hitting Cousin It, located near the middle of the table, scores 2 million points, and increases the switch value by 50,000.The Mamushka: For 20 seconds, every switch scores 250,000 points.Quick Multiball: Lights Quick Multiball at Thing's eject. Hitting that starts a two-ball multiball. Getting the ball into the Vault scores 5 million points, and can be increased by shooting the Vault or the center ramp. This continues until there is one ball remaining.Raise the Dead: The player has 30 seconds to hit as many bumpers as possible. All bumper hits are worth 100,000 points, and If any one bumper is hit 4 times, it scores 3 million points. After 30 seconds, or when all bumpers are hit 4 times, the round ends, but the 100,000-per-bumper scoring still applies.Seance: The player has 30 seconds to hit any ramp. The first hit is worth 5 million points, the second is 10 million, and the third is 15 million. Making it harder is the magnets that are activated under the playfield, which can knock the ball in any direction.Thing Multiball: The Thing Multiball value starts at 15 million points and dwindles down to 3 million, and Thing's eject is lit. Hitting it scores whatever value it shows, stops the countdown, and starts a two-ball multiball. Hitting the Vault scores the Multiball value. This continues until there is one ball remaining.Tunnel Hunt: The player has 20 seconds to hit three shots: Electric Chair, Swamp, and Vault. The first shot is worth 5 million points, the second shot is 10 million points, and the third is 15 million.When all twelve of these modes are played, the thirteenth mode is available, Tour the Mansion. </div> "
The Addams Family: Pugsley's Scavenger Hunt,Ocean Software,Ocean Software,"February 23, 1993",snes,Action platformer based on the 1992 Addams Family cartoon series.,3030-14644,14644,0,,https://www.giantbomb.com/the-addams-family-pugsleys-scavenger-hunt/3030-14644/,," <div> Overview : The Addams Family: Pugsley's Scavenger Hunt is an action/platformer published by Ocean Software and released on multiple platforms. It is based on the 1992 animated series incarnation of The Addams Family, rather than the movies, live-action TV show or the original comics.The Addams Family: Pugsley's Scavenger Hunt has a somewhat unusual release history; originally released on the SNES, versions for the Game Boy and Nintendo's previous console the NES were published a few months later. It was also made available in Europe several months before the US, as Ocean was a UK-based publisher. </div>  <div> Gameplay : Pugsley's Scavenger Hunt is a 2D platformer in which the player controls Pugsley Addams, who must venture forth into his house in search of items hidden by his sister Wednesday.Certain rooms, such as the bathroom level, are explored with Pugsley haven been shrunk in size. Different characters are also encountered in each of the rooms. For example, the Addams' butler Lurch is found in the Attic stage.The game is known for its colorful graphics but high difficulty and total lack of a password feature. </div>  <div> Critical Reception : When the NES version was released Electronic Gaming Monthly's Mike Weigand gave the review score of 7 out of 10. He wrote, ""...another version of the multi-platform game... if you played the SNES version, there is nothing here that is terribly different, except, of course, diminished graphics and sound. This is one of the better games for the NES system"". </div> "
